"","Station","Grid.ID","LAT","LON","Gear.Sampled","Mean_Z"
"207",206,"HJ191",57.7673,-152.033,"BONGO",92.3461538461538
"208",207,"HL191",57.6525,-151.8257,"BONGO",89.5
"209",208,"HN191",57.5377,-151.6189,"BONGO",149.195652173913
"210",209,"HP191",57.4249,-151.3986,"BONGO",164.4
"211",210,"HP189",57.3039,-151.6114,"BONGO",58.8651685393258
"212",211,"HN189",57.4167,-151.8324,"BONGO",60.4523809523809
"213",212,"HL189",57.5315,-152.0398,"BONGO",322.439024390244
"214",213,"HL187",57.4106,-152.2533,"BONGO",37.125
"215",214,"HN187",57.2958,-152.0452,"BONGO",69.030303030303
"216",215,"HP187",57.1826,-151.8243,"BONGO",53.2941176470588
"217",216,"HP185",57.0608,-152.0371,"BONGO",64.3870967741936
"218",217,"HN185",57.1748,-152.2573,"BONGO",73.3214285714286
"219",218,"HL185",57.2896,-152.466,"BONGO",69.3368421052632
"220",219,"HL183",57.1686,-152.6781,"BONGO",115.352941176471
"221",220,"HN183",57.0539,-152.4687,"BONGO",140.504761904762
"222",221,"HP183",56.9386,-152.25,"BONGO",62.9090909090909
"223",222,"HP181",56.8161,-152.4629,"BONGO",159.979591836735
"224",223,"HN181",56.9329,-152.6794,"BONGO",133.103448275862
"225",224,"HL181",57.0477,-152.8895,"BONGO",79.0480769230769
"226",225,"HL179",56.9267,-153.1002,"BONGO",115.125
"227",226,"HN179",56.812,-152.8894,"BONGO",55.2117647058824
"228",227,"HP179",56.6931,-152.6757,"BONGO",85.5
"229",228,"HP177",56.5728,-152.8833,"BONGO",75.5113636363636
"230",229,"HN177",56.691,-153.0988,"BONGO",138.666666666667
"231",230,"HL177",56.8058,-153.3102,"BONGO",159.84693877551
"232",231,"HL175",56.6848,-153.5195,"BONGO",142.411764705882
"233",232,"HN175",56.57,-153.3075,"BONGO",81.7701149425287
"234",233,"HP175",56.4501,-153.0944,"BONGO",34.5
"235",234,"HP173",56.332,-153.2968,"BONGO",37.25
"236",235,"HN173",56.4491,-153.5155,"BONGO",69.1071428571429
"237",236,"HL173",56.5639,-153.7281,"BONGO",64.4492753623188
"238",237,"HJ173",56.6787,-153.9414,"BONGO",60
"239",238,"KODIAK",57.78385,-152.4267,"Port",NA
