,Station,Grid.ID,LAT,LON,Gear.Sampled,Mean_Z,BONGO_Time,CTD_Time,LINE8_Time,Total_Gear_Time
201,200,HP195,57.6656,-150.9728,BONGO,81.47368421,0.241202438,0,0,0.241202438
202,201,HP193,57.5455,-151.1857,BONGO,73.74468085,0.227807264,0,0,0.227807264
203,202,HN193,57.6586,-151.4047,BONGO,67.09677419,0.216285745,0,0,0.216285745
204,203,HL193,57.7734,-151.6108,BONGO,49.36893204,0.185561536,0,0,0.185561536
205,204,HJ193,57.8882,-151.8175,BONGO,65.94117647,0.214282973,0,0,0.214282973
206,205,HH193,58.003,-152.0247,BONGO,170.6190476,0.3957007,0,0,0.3957007
207,206,HJ191,57.7673,-152.033,BONGO,102.3461538,0.277376616,0,0,0.277376616
208,207,HL191,57.6525,-151.8257,BONGO,99.5,0.272443933,0,0,0.272443933
209,208,HN191,57.5377,-151.6189,BONGO,159.1956522,0.375902758,0,0,0.375902758
210,209,HP191,57.4249,-151.3986,BONGO,174.4,0.402253487,0,0,0.402253487
211,210,HP189,57.3039,-151.6114,BONGO,68.86516854,0.219350558,0,0,0.219350558
212,211,HN189,57.4167,-151.8324,BONGO,70.45238095,0.222101364,0,0,0.222101364
213,212,HL189,57.5315,-152.0398,BONGO,332.4390244,0.446620971,0,0,0.446620971
214,213,HL187,57.4106,-152.2533,BONGO,47.125,0.181672566,0,0,0.181672566
215,214,HN187,57.2958,-152.0452,BONGO,79.03030303,0.236967802,0,0,0.236967802
216,215,HP187,57.1826,-151.8243,BONGO,63.29411765,0.209695343,0,0,0.209695343
217,216,HP185,57.0608,-152.0371,BONGO,74.38709677,0.228920639,0,0,0.228920639
218,217,HN185,57.1748,-152.2573,BONGO,83.32142857,0.244404772,0,0,0.244404772
219,218,HL185,57.2896,-152.466,BONGO,79.33684211,0.237499066,0,0,0.237499066
220,219,HL183,57.1686,-152.6781,BONGO,125.3529412,0.317249791,0,0,0.317249791
221,220,HN183,57.0539,-152.4687,BONGO,150.5047619,0.360840534,0,0,0.360840534
222,221,HP183,56.9386,-152.25,BONGO,72.90909091,0.226359099,0,0,0.226359099
223,222,HP181,56.8161,-152.4629,BONGO,169.9795918,0.394592456,0,0,0.394592456
224,223,HN181,56.9329,-152.6794,BONGO,143.1034483,0.348013281,0,0,0.348013281
225,224,HL181,57.0477,-152.8895,BONGO,89.04807692,0.254329655,0,0,0.254329655
226,225,HL179,56.9267,-153.1002,BONGO,125.125,0.316854745,0,0,0.316854745
227,226,HN179,56.812,-152.8894,BONGO,65.21176471,0.213018826,0,0,0.213018826
228,227,HP179,56.6931,-152.6757,BONGO,95.5,0.265511514,0,0,0.265511514
229,228,HP177,56.5728,-152.8833,BONGO,85.51136364,0.24820016,0,0,0.24820016
