x,y,xy,longitude,latitude
hh,171,hh171,-154.3646,56.67247
hh,173,hh173,-154.1553,56.79343
hh,193,hh193,-152.0247,58.00299
hh,195,hh195,-151.8077,58.12395
hh,197,hh197,-151.59,58.24491
hh,199,hh199,-151.3715,58.36586
hh,201,hh201,-151.1523,58.48682
hh,203,hh203,-150.9323,58.60778
hh,205,hh205,-150.7115,58.72873
hh,207,hh207,-150.49,58.84969
hh,209,hh209,-150.2677,58.97065
hh,211,hh211,-150.0424285,59.09265991
hh,213,hh213,-149.8186427,59.21350351
hh,215,hh215,-149.5948569,59.33392084
hh,217,hh217,-149.3710711,59.45391287
hh,219,hh219,-149.1472854,59.57348058
hh,221,hh221,-148.9234996,59.69262494
hh,223,hh223,-148.6997138,59.81134695
hh,225,hh225,-148.475928,59.92964759
hh,233,hh233,-147.5807849,60.39865641
hh,235,hh235,-147.3569992,60.51486519
hh,237,hh237,-147.1332134,60.63065861
hh,239,hh239,-146.9094276,60.74603768
hj,121,hj121,-159.2260435,53.49793282
hj,123,hj123,-159.0270253,53.62250142
hj,125,hj125,-158.8280071,53.74670346
hj,127,hj127,-158.6289889,53.87053943
hj,129,hj129,-158.4299707,53.99400984
hj,131,hj131,-158.2309526,54.11711518
hj,133,hj133,-158.0319344,54.23985599
hj,135,hj135,-157.8329162,54.36223277
hj,137,hj137,-157.633898,54.48424605
hj,139,hj139,-157.4348798,54.60589635
hj,141,hj141,-157.2358617,54.7271842
hj,143,hj143,-156.984716,54.859004
hj,145,hj145,-156.8033,54.98526
hj,147,hj147,-156.603,55.10621
hj,149,hj149,-156.402,55.22717
hj,151,hj151,-156.2004,55.34813
hj,153,hj153,-155.9982,55.46908
hj,155,hj155,-155.7954,55.59004
hj,157,hj157,-155.592,55.71099
hj,159,hj159,-155.3879,55.83195
hj,161,hj161,-155.1832,55.95291
hj,163,hj163,-154.9779,56.07386
hj,165,hj165,-154.7719,56.19482
hj,167,hj167,-154.5653,56.31578
hj,169,hj169,-154.358,56.43673
hj,173,hj173,-153.9414,56.67865
hj,191,hj191,-152.033,57.76725
hj,193,hj193,-151.8175,57.88821
hj,195,hj195,-151.6012,58.00917
hj,197,hj197,-151.3841,58.13012
hj,199,hj199,-151.1664,58.25108
hj,201,hj201,-150.9479,58.37204
hj,203,hj203,-150.7286,58.49299
hj,205,hj205,-150.5086,58.61395
hj,207,hj207,-150.2878,58.73491
hj,209,hj209,-150.0639804,58.8569958
hj,211,hj211,-149.8439,58.97682
hj,213,hj213,-149.6133148,59.10151762
hj,215,hj215,-149.3925215,59.22068306
hj,217,hj217,-149.1687019,59.34105866
hj,219,hj219,-148.9448823,59.46100913
hj,221,hj221,-148.7210627,59.58053545
hj,223,hj223,-148.497243,59.6996386
hj,225,hj225,-148.2734234,59.81831957
hj,227,hj227,-148.0496038,59.93657935
hj,231,hj231,-147.6019646,60.1718393
hj,233,hj233,-147.3781449,60.28884147
hj,235,hj235,-147.1543253,60.40542643
hj,237,hj237,-146.9305057,60.52159521
hj,239,hj239,-146.7066861,60.63734879
hl,121,hl121,-159.0084322,53.37491359
hl,123,hl123,-158.809414,53.49984362
hl,125,hl125,-158.6103958,53.6244066
hl,127,hl127,-158.4113776,53.74860303
hl,129,hl129,-158.2123594,53.87243339
hl,131,hl131,-158.0133413,53.9958982
hl,133,hl133,-157.8143231,54.11899797
hl,135,hl135,-157.6153049,54.24173319
hl,137,hl137,-157.4162867,54.3641044
hl,139,hl139,-157.2172685,54.48611211
hl,141,hl141,-157.0182504,54.60775686
hl,143,hl143,-156.7897038,54.72502118
hl,145,hl145,-156.5794975,54.87037604
hl,147,hl147,-156.3759665,54.99360111
hl,149,hl149,-156.1802269,55.11175316
hl,151,hl151,-155.9823922,55.23081583
hl,153,hl153,-155.7821477,55.35096695
hl,155,hl155,-155.5840602,55.46946621
hl,157,hl157,-155.3755964,55.59378928
